Year, Tritium [kg]
2002.8915662650602, 18.47222222222222
2003.855421686747, 18.88888888888889
2004.9096385542168, 19.265873015873016
2005.8433734939758, 19.563492063492063
2006.9277108433735, 20.27777777777778
2007.8614457831325, 20.932539682539684
2008.855421686747, 21.56746031746032
2009.879518072289, 22.242063492063494
2010.9036144578313, 22.857142857142854
2011.9277108433735, 23.39285714285714
2012.921686746988, 23.908730158730158
2013.94578313253, 24.4047619047619
2014.9397590361446, 24.861111111111107
2015.9036144578313, 25.297619047619047
2016.8975903614457, 25.694444444444446
2017.921686746988, 26.111111111111107
2018.8855421686746, 26.488095238095237
2019.9096385542168, 26.825396825396826
2020.9036144578313, 27.162698412698415
2021.8975903614457, 27.46031746031746
2022.8915662650602, 27.738095238095237
2023.855421686747, 28.01587301587302
2024.9096385542168, 28.333333333333332
2025.933734939759, 28.551587301587308
2026.9277108433735, 28.730158730158728
2027.921686746988, 28.630952380952387
2028.9156626506024, 28.353174603174605
2029.9096385542168, 27.857142857142854
2030.8734939759036, 27.182539682539684
2031.8373493975903, 26.19047619047619
2031.867469879518, 26.15079365079365
2032.4096385542168, 25.595238095238095
2033.0722891566265, 24.960317460317455
2033.855421686747, 24.365079365079364
2034.879518072289, 23.49206349206349
2035.933734939759, 22.619047619047617
2036.867469879518, 21.488095238095237
2037.8915662650602, 19.583333333333336
2038.855421686747, 17.996031746031743
2039.9397590361446, 16.349206349206355
2040.933734939759, 15.03968253968254
2041.867469879518, 13.769841269841267
2042.8915662650602, 12.48015873015873
2043.855421686747, 11.369047619047619
2044.879518072289, 10.277777777777777
2045.8734939759036, 9.146825396825395
2046.9277108433735, 8.115079365079366
2047.8614457831325, 7.2420634920634965
2048.9156626506024, 6.289682539682545
2049.909638554217, 5.416666666666665
2050.9036144578313, 4.662698412698416
2051.897590361446, 3.9285714285714084
2052.921686746988, 3.1547619047618873
