Year, Tritium [kg]
2002.8915662650602, 18.47222222222222
2003.855421686747, 18.88888888888889
2004.9096385542168, 19.265873015873016
2005.8433734939758, 19.563492063492063
2006.9277108433735, 20.27777777777778
2007.8614457831325, 20.932539682539684
2008.855421686747, 21.56746031746032
2009.879518072289, 22.242063492063494
2010.9036144578313, 22.857142857142854
2011.9277108433735, 23.39285714285714
2012.921686746988, 23.908730158730158
2013.94578313253, 24.4047619047619
2014.9397590361446, 24.861111111111107
2015.9036144578313, 25.297619047619047
2016.8975903614457, 25.694444444444446
2017.921686746988, 26.111111111111107
2018.8855421686746, 26.488095238095237
2019.9096385542168, 26.825396825396826
2020.9036144578313, 27.162698412698415
2021.8975903614457, 27.46031746031746
2022.8915662650602, 27.738095238095237
2023.855421686747, 28.01587301587302
2024.9096385542168, 28.333333333333332
2025.933734939759, 28.551587301587308
2026.9277108433735, 28.730158730158728
2027.921686746988, 28.630952380952387
2028.9156626506024, 28.353174603174605
2029.9096385542168, 27.857142857142854
2030.8734939759036, 27.182539682539684
2031.8373493975903, 26.19047619047619
2031.867469879518, 26.15079365079365
2032.4096385542168, 25.595238095238095
2033.0722891566265, 24.960317460317455
2033.855421686747, 24.365079365079364
2034.879518072289, 23.49206349206349
2035.933734939759, 22.619047619047617
2036.867469879518, 22.003968253968253
2037.8915662650602, 21.269841269841276
2038.855421686747, 20.63492063492064
2039.9397590361446, 19.98015873015875
2040.933734939759, 19.384920634920647
2041.867469879518, 18.84920634920637
2042.8915662650602, 18.313492063492085
2043.855421686747, 17.817460317460338
2044.879518072289, 17.361111111111132
2045.8734939759036, 16.9246031746032
2046.9277108433735, 16.428571428571455
2047.8614457831325, 16.0714285714286
2048.9156626506024, 15.694444444444477
2049.909638554217, 15.31746031746035
2050.9036144578313, 15.000000000000036
2051.897590361446, 14.702380952380988
2052.921686746988, 14.365079365079405
