Year, Tritium [kg]
2010.0396833192542, 28.99082568807339
2011.0268549987231, 29.747706422018343
2011.9710036736537, 30.435779816513758
2013.0011983576605, 31.26146788990826
2014.0310001375165, 31.949541284403665
2014.9755417165982, 32.77522935779817
2015.962320491916, 33.39449541284404
2017.0345559200832, 33.94495412844036
2018.0207453391745, 34.35779816513761
2019.0499577628038, 34.83944954128441
2020.035754277744, 35.11467889908256
2021.0213543406087, 35.321100917431195
2021.9629491385576, 35.11467889908256
2023.0322377855923, 34.63302752293576
2023.9732432273147, 34.220183486238525
2024.998723061509, 33.39449541284404
2026.0238099915525, 32.43119266055045
2026.963636720822, 31.60550458715596
2027.9881342946387, 30.43577981651376
2029.0124354163802, 29.19724770642201
2030.0363436339705, 27.821100917431195
2030.9751881028624, 26.65137614678899
2031.9568591242166, 25.481651376146786
2032.981160245958, 24.243119266055047
2033.9632241714635, 23.21100917431193
2034.9879181973558, 22.110091743119263
2036.013005127399, 21.14678899082569
2037.0380920574426, 20.183486238532105
2037.9773294304855, 19.15137614678899
2039.0022199084533, 18.119266055045877
2040.0269139343457, 17.01834862385321
2040.9669371156906, 16.261467889908264
2041.992024045734, 15.298165137614676
2043.017307427853, 14.40366972477064
2043.9575270612734, 13.715596330275229
2044.983006895468, 12.889908256880732
2045.9658566292753, 12.13302752293578
2047.0339665638567, 11.238532110091747
2047.9739897452016, 10.481651376146793
2048.999862483547, 9.793577981651392
2050.0253423177414, 8.967889908256858
2050.965561951162, 8.279816513761437
2051.991238237432, 7.522935779816542
2053.016718071626, 6.697247706422045
2053.9571341571223, 6.0779816513761435
2054.983203347543, 5.4587155963302685
2056.0092725379645, 4.8394495412843925
2057.0355381804607, 4.288990825688076
2057.9761507180324, 3.738532110091705
2059.002612812604, 3.2568807339449286
2060.0290749071764, 2.775229357798162
